1;21/12/2014;4:10;Culinária;120;35.9;2;1100;venda Rapida
2;8/4/2015;15:17;Esporte;132;15.0;2;2200;dia das Maes
3;2/11/2016;13:16;Infantil;99;22.44;2;3300;Dia dos Namorados
4;26/7/2017;10:22;Moda;102;22.5;1;4400;Dia Internacional das mulheres
5;7/3/2014;7:53;Viagem;82;35.9;1;5500;Copa do Mundo
6;25/11/2015;5:44;Culinária;120;35.9;2;1100;venda Rapida
7;15/6/2016;14:51;Esporte;132;15.0;2;2200;dia das Maes
8;7/10/2017;12:29;Infantil;99;22.44;2;3300;Dia dos Namorados
9;12/6/2014;11:37;Moda;102;22.5;1;4400;Dia Internacional das mulheres
10;9/9/2015;6:49;Viagem;82;35.9;1;5500;Copa do Mundo
11;8/2/2016;5:6;Culinária;120;35.9;2;1100;venda Rapida
12;16/6/2017;12:25;Esporte;132;15.0;2;2200;dia das Maes
13;24/12/2014;14:27;Infantil;99;22.44;2;3300;Dia dos Namorados
14;9/10/2015;16:51;Moda;102;22.5;1;4400;Dia Internacional das mulheres
15;25/8/2016;6:29;Viagem;82;35.9;1;5500;Copa do Mundo
16;16/10/2017;16:30;Culinária;120;35.9;2;1100;venda Rapida
17;19/8/2014;1:56;Esporte;132;15.0;2;2200;dia das Maes
18;17/2/2015;13:26;Infantil;99;22.44;2;3300;Dia dos Namorados
19;9/11/2016;15:59;Moda;102;22.5;1;4400;Dia Internacional das mulheres
20;28/1/2017;15:38;Viagem;82;35.9;1;5500;Copa do Mundo
21;19/5/2014;6:7;Culinária;120;35.9;2;1100;venda Rapida
22;1/6/2015;10:47;Esporte;132;15.0;2;2200;dia das Maes
23;17/4/2016;16:9;Infantil;99;22.44;2;3300;Dia dos Namorados
24;5/3/2017;7:49;Moda;102;22.5;1;4400;Dia Internacional das mulheres
25;24/9/2014;17:51;Viagem;82;35.9;1;5500;Copa do Mundo
26;27/6/2015;15:15;Culinária;120;35.9;2;1100;venda Rapida
27;10/11/2016;5:32;Esporte;132;15.0;2;2200;dia das Maes
28;2/9/2017;5:19;Infantil;99;22.44;2;3300;Dia dos Namorados
29;27/8/2014;2:21;Moda;102;22.5;1;4400;Dia Internacional das mulheres
30;18/1/2015;10:4;Viagem;82;35.9;1;5500;Copa do Mundo
31;1/3/2016;15:42;Culinária;120;35.9;2;1100;venda Rapida
32;16/4/2017;7:50;Esporte;132;15.0;2;2200;dia das Maes
33;23/1/2014;18:18;Infantil;99;22.44;2;3300;Dia dos Namorados
34;21/7/2015;1:50;Moda;102;22.5;1;4400;Dia Internacional das mulheres
35;18/9/2016;8:30;Viagem;82;35.9;1;5500;Copa do Mundo
36;9/7/2017;7:39;Culinária;120;35.9;2;1100;venda Rapida
37;1/11/2014;5:4;Esporte;132;15.0;2;2200;dia das Maes
38;11/5/2015;8:22;Infantil;99;22.44;2;3300;Dia dos Namorados
39;8/5/2016;16:35;Moda;102;22.5;1;4400;Dia Internacional das mulheres
40;21/8/2017;2:44;Viagem;82;35.9;1;5500;Copa do Mundo
41;17/8/2014;10:17;Culinária;120;35.9;2;1100;venda Rapida
42;23/12/2015;5:5;Esporte;132;15.0;2;2200;dia das Maes
43;16/2/2016;10:59;Infantil;99;22.44;2;3300;Dia dos Namorados
44;11/11/2017;13:37;Moda;102;22.5;1;4400;Dia Internacional das mulheres
45;12/12/2014;11:49;Viagem;82;35.9;1;5500;Copa do Mundo
46;25/1/2015;17:8;Culinária;120;35.9;2;1100;venda Rapida
47;1/9/2016;12:20;Esporte;132;15.0;2;2200;dia das Maes
48;26/11/2017;16:52;Infantil;99;22.44;2;3300;Dia dos Namorados
49;15/3/2014;10:24;Moda;102;22.5;1;4400;Dia Internacional das mulheres
50;9/3/2015;5:13;Viagem;82;35.9;1;5500;Copa do Mundo
51;4/4/2016;3:21;Culinária;120;35.9;2;1100;venda Rapida
52;22/1/2017;16:13;Esporte;132;15.0;2;2200;dia das Maes
53;19/11/2014;6:59;Infantil;99;22.44;2;3300;Dia dos Namorados
54;27/12/2015;14:16;Moda;102;22.5;1;4400;Dia Internacional das mulheres
55;8/5/2016;1:58;Viagem;82;35.9;1;5500;Copa do Mundo
56;25/9/2017;8:57;Culinária;120;35.9;2;1100;venda Rapida
57;3/8/2014;16:10;Esporte;132;15.0;2;2200;dia das Maes
58;14/9/2015;10:51;Infantil;99;22.44;2;3300;Dia dos Namorados
59;23/4/2016;15:15;Moda;102;22.5;1;4400;Dia Internacional das mulheres
60;4/9/2017;7:26;Viagem;82;35.9;1;5500;Copa do Mundo
61;18/4/2014;10:23;Culinária;120;35.9;2;1100;venda Rapida
62;17/8/2015;6:34;Esporte;132;15.0;2;2200;dia das Maes
63;16/2/2016;8:6;Infantil;99;22.44;2;3300;Dia dos Namorados
64;3/11/2017;13:5;Moda;102;22.5;1;4400;Dia Internacional das mulheres
65;4/12/2014;16:6;Viagem;82;35.9;1;5500;Copa do Mundo
66;2/9/2015;11:26;Culinária;120;35.9;2;1100;venda Rapida
67;24/7/2016;3:32;Esporte;132;15.0;2;2200;dia das Maes
68;8/7/2017;1:36;Infantil;99;22.44;2;3300;Dia dos Namorados
69;25/4/2014;9:23;Moda;102;22.5;1;4400;Dia Internacional das mulheres
70;18/3/2015;3:41;Viagem;82;35.9;1;5500;Copa do Mundo
71;10/3/2016;9:4;Culinária;120;35.9;2;1100;venda Rapida
72;5/8/2017;14:33;Esporte;132;15.0;2;2200;dia das Maes
73;26/8/2014;11:57;Infantil;99;22.44;2;3300;Dia dos Namorados
74;1/5/2015;10:22;Moda;102;22.5;1;4400;Dia Internacional das mulheres
75;12/3/2016;12:48;Viagem;82;35.9;1;5500;Copa do Mundo
76;26/6/2017;12:58;Culinária;120;35.9;2;1100;venda Rapida
77;1/5/2014;14:30;Esporte;132;15.0;2;2200;dia das Maes
78;28/4/2015;2:12;Infantil;99;22.44;2;3300;Dia dos Namorados
79;14/5/2016;3:12;Moda;102;22.5;1;4400;Dia Internacional das mulheres
80;17/4/2017;7:37;Viagem;82;35.9;1;5500;Copa do Mundo
81;15/5/2014;16:54;Culinária;120;35.9;2;1100;venda Rapida
82;2/10/2015;8:48;Esporte;132;15.0;2;2200;dia das Maes
83;26/12/2016;8:10;Infantil;99;22.44;2;3300;Dia dos Namorados
84;23/6/2017;2:40;Moda;102;22.5;1;4400;Dia Internacional das mulheres
